Store,Dept,Date,Weekly_Sales_Pred
1,1,2012-11-02,25777.068
1,1,2012-11-09,25777.068
1,1,2012-11-16,25777.068
1,1,2012-11-23,27331.703
1,1,2012-11-30,27928.992
1,1,2012-12-07,35130.26
1,1,2012-12-14,35130.26
1,1,2012-12-21,35130.26
1,1,2012-12-28,23125.457
1,1,2013-01-04,18912.55
1,1,2013-01-11,18912.55
1,1,2013-01-18,18912.55
1,1,2013-01-25,18912.55
1,1,2013-02-01,24699.639
1,1,2013-02-08,25400.13
1,1,2013-02-15,24699.639
1,1,2013-02-22,24699.639
1,1,2013-03-01,23853.36
1,1,2013-03-08,24699.639
1,1,2013-03-15,24699.639
1,1,2013-03-22,24699.639
1,1,2013-03-29,24699.639
1,1,2013-04-05,27584.291
1,1,2013-04-12,27584.291
1,1,2013-04-19,27584.291
1,1,2013-04-26,27584.291
1,1,2013-05-03,19429.133
1,1,2013-05-10,19429.133
1,1,2013-05-17,19429.133
1,1,2013-05-24,22649.043
1,1,2013-05-31,19429.133
1,1,2013-06-07,19429.133
1,1,2013-06-14,19429.133
1,1,2013-06-21,19429.133
1,1,2013-06-28,19429.133
1,1,2013-07-05,22649.043
1,1,2013-07-12,19429.133
1,1,2013-07-19,19429.133
1,1,2013-07-26,19429.133
1,2,2012-11-02,44728.28
1,2,2012-11-09,44728.28
1,2,2012-11-16,44728.28
1,2,2012-11-23,45916.86
1,2,2012-11-30,45481.684
1,2,2012-12-07,50611.043
1,2,2012-12-14,50611.043
1,2,2012-12-21,50611.043
1,2,2012-12-28,42235.605
1,2,2013-01-04,43140.434
1,2,2013-01-11,43140.434
1,2,2013-01-18,43140.434
1,2,2013-01-25,43140.434
1,2,2013-02-01,45198.824
1,2,2013-02-08,45899.32
1,2,2013-02-15,45198.824
1,2,2013-02-22,45198.824
1,2,2013-03-01,45198.824
1,2,2013-03-08,45198.824
1,2,2013-03-15,45198.824
1,2,2013-03-22,45198.824
1,2,2013-03-29,45198.824
1,2,2013-04-05,45198.824
1,2,2013-04-12,45198.824
1,2,2013-04-19,45198.824
1,2,2013-04-26,45198.824
1,2,2013-05-03,45198.824
1,2,2013-05-10,45198.824
1,2,2013-05-17,45198.824
1,2,2013-05-24,46052.89
1,2,2013-05-31,45198.824
1,2,2013-06-07,45198.824
1,2,2013-06-14,45198.824
1,2,2013-06-21,45198.824
1,2,2013-06-28,45198.824
1,2,2013-07-05,46052.89
1,2,2013-07-12,45198.824
1,2,2013-07-19,45198.824
1,2,2013-07-26,45198.824
1,3,2012-11-02,16274.821
1,3,2012-11-09,16274.821
1,3,2012-11-16,16274.821
1,3,2012-11-23,19523.629
1,3,2012-11-30,18221.72
1,3,2012-12-07,21810.83
1,3,2012-12-14,22815.723
1,3,2012-12-21,21810.83
1,3,2012-12-28,14636.944
1,3,2013-01-04,14454.778
1,3,2013-01-11,14454.778
1,3,2013-01-18,14454.778
1,3,2013-01-25,14454.778
1,3,2013-02-01,13982.04
1,3,2013-02-08,14682.534
1,3,2013-02-15,14766.417
1,3,2013-02-22,14766.417
1,3,2013-03-01,14766.417
1,3,2013-03-08,14766.417
1,3,2013-03-15,14766.417
1,3,2013-03-22,13982.04
1,3,2013-03-29,13982.04
1,3,2013-04-05,13982.04
1,3,2013-04-12,14766.417
1,3,2013-04-19,14766.417
1,3,2013-04-26,14766.417
1,3,2013-05-03,14766.417
1,3,2013-05-10,14766.417
1,3,2013-05-17,14766.417
1,3,2013-05-24,17309.629
1,3,2013-05-31,13982.04
1,3,2013-06-07,14766.417
1,3,2013-06-14,13982.04
1,3,2013-06-21,13982.04
1,3,2013-06-28,14766.417
1,3,2013-07-05,20892.23
1,3,2013-07-12,19276.17
1,3,2013-07-19,19276.17
1,3,2013-07-26,19823.459
1,4,2012-11-02,30693.193
1,4,2012-11-09,30693.193
1,4,2012-11-16,30693.193
1,4,2012-11-23,38917.9
1,4,2012-11-30,32952.777
1,4,2012-12-07,37234.094
1,4,2012-12-14,37234.094
1,4,2012-12-21,37234.094
1,4,2012-12-28,29602.6
1,4,2013-01-04,27969.018
1,4,2013-01-11,27969.018
1,4,2013-01-18,27969.018
1,4,2013-01-25,27969.018
1,4,2013-02-01,29744.367
1,4,2013-02-08,30444.86
1,4,2013-02-15,29744.367
1,4,2013-02-22,29744.367
1,4,2013-03-01,29744.367
